STATE_COUNTY,TRUMP_N,TRUMP_%,CLINTON_N,CLINTON_%
AL_AUTAUGA,18110,0.7282,5908,0.2375
AL_BALDWIN,72780,0.7658,18409,0.1937
AL_BARBOUR,5431,0.5211,4848,0.46509999999999996
AL_BIBB,6733,0.7639,1874,0.2126
AL_BLOUNT,22808,0.8934000000000001,2150,0.0842
AL_BULLOCK,1139,0.2419,3530,0.7495999999999999
AL_BUTLER,4891,0.5614,3716,0.4265
AL_CALHOUN,32803,0.6869,13197,0.2764
AL_CHAMBERS,7803,0.5638000000000001,5763,0.4164
AL_CHEROKEE,8937,0.8341,1545,0.1442
AL_CHILTON,15068,0.8210999999999999,2909,0.1585
AL_CHOCTAW,4102,0.5629,3109,0.4267
AL_CLARKE,7109,0.5484,5712,0.4407
AL_CLAY,5230,0.7918000000000001,1234,0.1868
AL_CLEBURNE,5738,0.8737999999999999,684,0.1042
AL_COFFEE,15825,0.7651,4194,0.2028
AL_COLBERT,16718,0.6724,7296,0.2934
AL_CONECUH,3413,0.5196999999999999,3069,0.4673
AL_COOSA,3376,0.6437,1780,0.3394
AL_COVINGTON,13222,0.8323999999999999,2379,0.14980000000000002
AL_CRENSHAW,4511,0.7203,1663,0.2655
AL_CULLMAN,32734,0.872,3730,0.09939999999999999
AL_DALE,13789,0.7365999999999999,4408,0.2353
AL_DALLAS,5784,0.308,12826,0.6831
AL_DEKALB,21779,0.8288,3682,0.1401
AL_ELMORE,27619,0.7417,8436,0.22649999999999998
AL_ESCAMBIA,10282,0.6722,4698,0.3071
AL_ETOWAH,32132,0.7329000000000001,10350,0.2361
AL_FAYETTE,6705,0.8140000000000001,1358,0.1649
AL_FRANKLIN,9466,0.7862,2197,0.1825
AL_GENEVA,9967,0.8501000000000001,1522,0.1298
AL_GREENE,838,0.172,4006,0.8220999999999999
AL_HALE,3172,0.3947,4772,0.5938
AL_HENRY,5623,0.6979000000000001,2286,0.2837
AL_HOUSTON,30567,0.7217,10547,0.249
AL_JACKSON,16643,0.7948000000000001,3663,0.17489999999999997
AL_JEFFERSON,134398,0.4434,156384,0.5155
AL_LAMAR,5819,0.8359000000000001,1035,0.1487
AL_LAUDERDALE,27735,0.7062,9877,0.2515
AL_LAWRENCE,10732,0.7295,3611,0.2455
AL_LEE,34321,0.5856,20987,0.35810000000000003
AL_LIMESTONE,28824,0.7223999999999999,9340,0.2341
AL_LOWNDES,1751,0.262,4882,0.7304999999999999
AL_MACON,1394,0.1589,7237,0.8249
AL_MADISON,89199,0.5485,62435,0.3839
AL_MARENGO,5224,0.47590000000000005,5607,0.5108
AL_MARION,11273,0.8683,1432,0.1103
AL_MARSHALL,29217,0.8278,4913,0.1392
AL_MOBILE,94002,0.5562,71001,0.4201
AL_MONROE,5771,0.5646,4310,0.4216
AL_MONTGOMERY,33928,0.35509999999999997,58669,0.614
AL_MORGAN,37392,0.7403,11216,0.22210000000000002
AL_PERRY,1403,0.2661,3823,0.725
AL_PICKENS,5454,0.5717,3972,0.4164
AL_PIKE,7681,0.5846,5039,0.3835
AL_RANDOLPH,7697,0.7562000000000001,2290,0.225
AL_RUSSELL,9210,0.47840000000000005,9577,0.4975
AL_SHELBY,72846,0.7211,22927,0.22699999999999998
AL_ST. CLAIR,31579,0.8249,5550,0.145
AL_SUMTER,1581,0.2469,4739,0.74
AL_TALLADEGA,20596,0.6172,12108,0.3628
AL_TALLAPOOSA,13546,0.6978,5495,0.28309999999999996
AL_TUSCALOOSA,47701,0.5771000000000001,31746,0.38409999999999994
AL_WALKER,24208,0.8233,4486,0.15259999999999999
AL_WASHINGTON,6031,0.7084,2366,0.2779
AL_WILCOX,1737,0.2844,4329,0.7087
AL_WINSTON,9225,0.895,871,0.08449999999999999
AR_ARKANSAS,3926,0.6159,1939,0.3121
AR_ASHLEY,5338,0.6604000000000001,2408,0.2979
AR_BAXTER,14682,0.7428,4169,0.2109
AR_BENTON,60871,0.6286999999999999,28005,0.2892
AR_BOONE,12235,0.7594,2926,0.1816
AR_BRADLEY,2164,0.5924,1317,0.3605
AR_CALHOUN,1556,0.6858,639,0.2816
AR_CARROLL,6786,0.6308,3342,0.3107
AR_CHICOT,1716,0.41090000000000004,2350,0.5627
AR_CLARK,4404,0.5165,3620,0.42460000000000003
AR_CLAY,3781,0.7271,1199,0.2306
AR_CLEBURNE,9458,0.7826000000000001,2101,0.1739
AR_CLEVELAND,2462,0.7340000000000001,723,0.21559999999999999
AR_COLUMBIA,5456,0.6139,3140,0.3533
AR_CONWAY,4849,0.6117,2656,0.33509999999999995
AR_CRAIGHEAD,22892,0.6435,10538,0.2962
AR_CRAWFORD,16686,0.7433,3488,0.1999
AR_CRITTENDEN,6964,0.4366,8410,0.5272
AR_CROSS,4584,0.6668999999999999,1999,0.2908
AR_DALLAS,1509,0.5446,1165,0.4204
AR_DESHA,1919,0.4508,2228,0.5234000000000001
AR_DREW,3968,0.6017,2365,0.3586
AR_FAULKNER,29346,0.6175,14629,0.3078
AR_FRANKLIN,5039,0.7443000000000001,1376,0.2032
AR_FULTON,3471,0.7273999999999999,1067,0.2236
AR_GARLAND,26087,0.6369,12311,0.3017
AR_GRANT,5725,0.769,1373,0.1844
AR_GREENE,10720,0.7342,3071,0.21030000000000001
AR_HEMPSTEAD,4401,0.6243,2377,0.3372
