STATE_COUNTY,ASIANPER
AL_AUTAUGA,0.009000000000000001
AL_BALDWIN,0.006999999999999999
AL_BARBOUR,0.004
AL_BIBB,0.001
AL_BLOUNT,0.002
AL_BULLOCK,0.002
AL_BUTLER,0.008
AL_CALHOUN,0.006999999999999999
AL_CHAMBERS,0.005
AL_CHEROKEE,0.002
AL_CHILTON,0.003
AL_CHOCTAW,0.001
AL_CLARKE,0.003
AL_CLAY,0.002
AL_CLEBURNE,0.002
AL_COFFEE,0.013000000000000001
AL_COLBERT,0.004
AL_CONECUH,0.001
AL_COOSA,0.001
AL_COVINGTON,0.004
AL_CRENSHAW,0.013999999999999999
AL_CULLMAN,0.004
AL_DALE,0.011000000000000001
AL_DALLAS,0.003
AL_DEKALB,0.003
AL_ELMORE,0.006999999999999999
AL_ESCAMBIA,0.002
AL_ETOWAH,0.006
AL_FAYETTE,0.002
AL_FRANKLIN,0.002
AL_GENEVA,0.003
AL_GREENE,0.002
AL_HALE,0.002
AL_HENRY,0.003
AL_HOUSTON,0.008
AL_JACKSON,0.003
AL_JEFFERSON,0.013999999999999999
AL_LAMAR,0.0
AL_LAUDERDALE,0.006999999999999999
AL_LAWRENCE,0.001
AL_LEE,0.026000000000000002
AL_LIMESTONE,0.011000000000000001
AL_LOWNDES,0.001
AL_MACON,0.004
AL_MADISON,0.025
AL_MARENGO,0.003
AL_MARION,0.002
AL_MARSHALL,0.005
AL_MOBILE,0.018000000000000002
AL_MONROE,0.003
AL_MONTGOMERY,0.021
AL_MORGAN,0.006
AL_PERRY,0.003
AL_PICKENS,0.002
AL_PIKE,0.02
AL_RANDOLPH,0.002
AL_RUSSELL,0.004
AL_STCLAIR,0.006
AL_SHELBY,0.019
AL_SUMTER,0.002
AL_TALLADEGA,0.004
AL_TALLAPOOSA,0.005
AL_TUSCALOOSA,0.012
AL_WALKER,0.003
AL_WASHINGTON,0.001
AL_WILCOX,0.0
AL_WINSTON,0.002
AK_ALEUTIANSEAST,0.36
AK_ALEUTIANSWEST,0.289
AK_ANCHORAGE,0.081
AK_BETHEL,0.009000000000000001
AK_BRISTOLBAY,0.008
AK_DENALI,0.01
AK_DILLINGHAM,0.006999999999999999
AK_FAIRBANKSNORTHSTAR,0.027000000000000003
AK_HAINES,0.006
AK_HOONAH-ANGOON,0.006
AK_JUNEAU,0.061
AK_KENAIPENINSULA,0.011000000000000001
AK_KETCHIKANGATEWAY,0.07
AK_KODIAKISLAND,0.196
AK_LAKEANDPENINSULA,0.004
AK_MATANUSKA-SUSITNA,0.012
AK_NOME,0.01
AK_NORTHSLOPE,0.045
AK_NORTHWESTARCTIC,0.006
AK_PETERSBURG,0.026000000000000002
AK_PRINCEOFWALES-HYDER,0.004
AK_SITKA,0.06
AK_SKAGWAY,0.005
AK_SOUTHEASTFAIRBANKS,0.009000000000000001
AK_VALDEZ-CORDOVA,0.037000000000000005
AK_WADEHAMPTON,0.002
AK_WRANGELL,0.013999999999999999
AK_YAKUTAT,0.040999999999999995
AK_YUKON-KOYUKUK,0.003
AZ_APACHE,0.003
AZ_COCHISE,0.019
AZ_COCONINO,0.013999999999999999
AZ_GILA,0.005
AZ_GRAHAM,0.005
AZ_GREENLEE,0.005
AZ_LAPAZ,0.005
AZ_MARICOPA,0.035
AZ_MOHAVE,0.011000000000000001
AZ_NAVAJO,0.005
AZ_PIMA,0.026000000000000002
AZ_PINAL,0.017
AZ_SANTACRUZ,0.005
AZ_YAVAPAI,0.008
AZ_YUMA,0.012
AR_ARKANSAS,0.005
AR_ASHLEY,0.002
AR_BAXTER,0.004
AR_BENTON,0.028999999999999998
AR_BOONE,0.004
AR_BRADLEY,0.002
AR_CALHOUN,0.002
AR_CARROLL,0.006
AR_CHICOT,0.005
AR_CLARK,0.005
AR_CLAY,0.001
AR_CLEBURNE,0.002
AR_CLEVELAND,0.001
AR_COLUMBIA,0.006999999999999999
AR_CONWAY,0.004
AR_CRAIGHEAD,0.011000000000000001
AR_CRAWFORD,0.013999999999999999
AR_CRITTENDEN,0.006
AR_CROSS,0.005
AR_DALLAS,0.001
AR_DESHA,0.003
AR_DREW,0.005
AR_FAULKNER,0.011000000000000001
AR_FRANKLIN,0.009000000000000001
AR_FULTON,0.002
AR_GARLAND,0.006999999999999999
AR_GRANT,0.003
AR_GREENE,0.003
AR_HEMPSTEAD,0.004
AR_HOTSPRING,0.003
AR_HOWARD,0.006
AR_INDEPENDENCE,0.008
AR_IZARD,0.003
AR_JACKSON,0.003
AR_JEFFERSON,0.008
AR_JOHNSON,0.006999999999999999
AR_LAFAYETTE,0.003
AR_LAWRENCE,0.001
AR_LEE,0.004
AR_LINCOLN,0.002
AR_LITTLERIVER,0.003
AR_LOGAN,0.016
AR_LONOKE,0.008
AR_MADISON,0.005
AR_MARION,0.002
AR_MILLER,0.005
AR_MISSISSIPPI,0.005
AR_MONROE,0.004
AR_MONTGOMERY,0.005
AR_NEVADA,0.003
AR_NEWTON,0.003
AR_OUACHITA,0.004
AR_PERRY,0.002
AR_PHILLIPS,0.003
AR_PIKE,0.005
AR_POINSETT,0.002
AR_POLK,0.005
AR_POPE,0.01
AR_PRAIRIE,0.001
AR_PULASKI,0.02
AR_RANDOLPH,0.002
AR_STFRANCIS,0.005
AR_SALINE,0.009000000000000001
AR_SCOTT,0.034
AR_SEARCY,0.001
AR_SEBASTIAN,0.040999999999999995
AR_SEVIER,0.004
AR_SHARP,0.003
AR_STONE,0.004
AR_UNION,0.005
AR_VANBUREN,0.003
AR_WASHINGTON,0.022000000000000002
AR_WHITE,0.005
AR_WOODRUFF,0.002
AR_YELL,0.013000000000000001
CA_ALAMEDA,0.261
CA_ALPINE,0.006
CA_AMADOR,0.011000000000000001
CA_BUTTE,0.040999999999999995
CA_CALAVERAS,0.013000000000000001
CA_COLUSA,0.013000000000000001
CA_CONTRACOSTA,0.14400000000000002
CA_DELNORTE,0.034
CA_ELDORADO,0.035
CA_FRESNO,0.096
CA_GLENN,0.026000000000000002
CA_HUMBOLDT,0.022000000000000002
CA_IMPERIAL,0.016
CA_INYO,0.013000000000000001
CA_KERN,0.042
CA_KINGS,0.037000000000000005
CA_LAKE,0.011000000000000001
CA_LASSEN,0.01
CA_LOSANGELES,0.13699999999999998
CA_MADERA,0.019
CA_MARIN,0.055
CA_MARIPOSA,0.011000000000000001
CA_MENDOCINO,0.017
CA_MERCED,0.07400000000000001
CA_MODOC,0.008
CA_MONO,0.013999999999999999
CA_MONTEREY,0.061
CA_NAPA,0.068
CA_NEVADA,0.012
CA_ORANGE,0.179
CA_PLACER,0.059000000000000004
CA_PLUMAS,0.006999999999999999
CA_RIVERSIDE,0.06
CA_SACRAMENTO,0.14300000000000002
CA_SANBENITO,0.026000000000000002
CA_SANBERNARDINO,0.063
CA_SANDIEGO,0.109
CA_SANFRANCISCO,0.33299999999999996
CA_SANJOAQUIN,0.14400000000000002
CA_SANLUISOBISPO,0.032
CA_SANMATEO,0.248
CA_SANTABARBARA,0.049
CA_SANTACLARA,0.32
CA_SANTACRUZ,0.042
CA_SHASTA,0.025
CA_SIERRA,0.004
CA_SISKIYOU,0.012
CA_SOLANO,0.146
CA_SONOMA,0.038
CA_STANISLAUS,0.051
CA_SUTTER,0.14400000000000002
CA_TEHAMA,0.01
CA_TRINITY,0.006999999999999999
CA_TULARE,0.034
CA_TUOLUMNE,0.01
CA_VENTURA,0.067
CA_YOLO,0.13
CA_YUBA,0.067
CO_ADAMS,0.036000000000000004
CO_ALAMOSA,0.01
CO_ARAPAHOE,0.051
CO_ARCHULETA,0.006999999999999999
CO_BACA,0.002
CO_BENT,0.01
CO_BOULDER,0.040999999999999995
CO_BROOMFIELD,0.061
CO_CHAFFEE,0.006
CO_CHEYENNE,0.006
CO_CLEARCREEK,0.006
CO_CONEJOS,0.003
CO_COSTILLA,0.01
CO_CROWLEY,0.01
CO_CUSTER,0.004
CO_DELTA,0.005
CO_DENVER,0.034
CO_DOLORES,0.001
CO_DOUGLAS,0.038
CO_EAGLE,0.01
CO_ELBERT,0.006999999999999999
CO_ELPASO,0.027000000000000003
CO_FREMONT,0.006
CO_GARFIELD,0.006999999999999999
CO_GILPIN,0.013999999999999999
CO_GRAND,0.008
CO_GUNNISON,0.006999999999999999
CO_HINSDALE,0.004
CO_HUERFANO,0.004
CO_JACKSON,0.001
CO_JEFFERSON,0.026000000000000002
CO_KIOWA,0.0
CO_KITCARSON,0.004
CO_LAKE,0.005
CO_LAPLATA,0.006
CO_LARIMER,0.019
CO_LASANIMAS,0.006999999999999999
CO_LINCOLN,0.008
CO_LOGAN,0.006
CO_MESA,0.008
CO_MINERAL,0.001
CO_MOFFAT,0.006
CO_MONTEZUMA,0.005
CO_MONTROSE,0.006
CO_MORGAN,0.005
CO_OTERO,0.008
CO_OURAY,0.006
CO_PARK,0.006
CO_PHILLIPS,0.006
CO_PITKIN,0.012
CO_PROWERS,0.003
CO_PUEBLO,0.008
CO_RIOBLANCO,0.003
CO_RIOGRANDE,0.004
CO_ROUTT,0.006
CO_SAGUACHE,0.008
CO_SANJUAN,0.011000000000000001
CO_SANMIGUEL,0.006999999999999999
CO_SEDGWICK,0.006999999999999999
CO_SUMMIT,0.01
CO_TELLER,0.006999999999999999
CO_WASHINGTON,0.002
CO_WELD,0.012
CO_YUMA,0.002
CT_FAIRFIELD,0.046
CT_HARTFORD,0.042
CT_LITCHFIELD,0.015
CT_MIDDLESEX,0.026000000000000002
CT_NEWHAVEN,0.035
CT_NEWLONDON,0.042
CT_TOLLAND,0.034
CT_WINDHAM,0.012
DE_KENT,0.02
DE_NEWCASTLE,0.043
DE_SUSSEX,0.01
FL_ALACHUA,0.054000000000000006
FL_BAKER,0.005
FL_BAY,0.02
FL_BRADFORD,0.005
FL_BREVARD,0.021
FL_BROWARD,0.032
FL_CALHOUN,0.005
FL_CHARLOTTE,0.012
FL_CITRUS,0.013999999999999999
FL_CLAY,0.028999999999999998
FL_COLLIER,0.011000000000000001
FL_COLUMBIA,0.009000000000000001
FL_DESOTO,0.005
FL_DIXIE,0.003
FL_DUVAL,0.042
FL_ESCAMBIA,0.027000000000000003
FL_FLAGLER,0.021
FL_FRANKLIN,0.002
FL_GADSDEN,0.005
FL_GILCHRIST,0.004
FL_GLADES,0.004
FL_GULF,0.003
FL_HAMILTON,0.005
FL_HARDEE,0.011000000000000001
FL_HENDRY,0.006999999999999999
FL_HERNANDO,0.011000000000000001
FL_HIGHLANDS,0.015
FL_HILLSBOROUGH,0.034
FL_HOLMES,0.004
FL_INDIANRIVER,0.012
FL_JACKSON,0.005
FL_JEFFERSON,0.004
FL_LAFAYETTE,0.001
FL_LAKE,0.017
FL_LEE,0.013999999999999999
FL_LEON,0.028999999999999998
FL_LEVY,0.006
FL_LIBERTY,0.002
FL_MADISON,0.002
FL_MANATEE,0.016
FL_MARION,0.013000000000000001
FL_MARTIN,0.011000000000000001
FL_MIAMI-DADE,0.015
FL_MONROE,0.011000000000000001
FL_NASSAU,0.009000000000000001
FL_OKALOOSA,0.028999999999999998
FL_OKEECHOBEE,0.009000000000000001
FL_ORANGE,0.049
FL_OSCEOLA,0.027999999999999997
FL_PALMBEACH,0.024
FL_PASCO,0.021
FL_PINELLAS,0.03
FL_POLK,0.016
FL_PUTNAM,0.006
FL_STJOHNS,0.021
FL_STLUCIE,0.016
