,STATE_COUNTY,TRUMP_N,TRUMP_%,CLINTON_N,CLINTON_%,PER_CAPITA_INCOME,YEAR_x,UNINSURED_RATE,YEAR_y,SOME_COLLEGE,AFAMERPER,WHITESPER,ASIANPER,HISPANICPER
0,AL_AUTAUGA,18110,0.7282,5908,0.2375,24571.0,2017.0,0.11,2017.0,0.597,0.177,0.785,0.009000000000000001,0.024
1,AL_BALDWIN,72780,0.7658,18409,0.1937,26766.0,2017.0,0.161,2017.0,0.629,0.094,0.857,0.006999999999999999,0.044
2,AL_BARBOUR,5431,0.5211,4848,0.4651,16829.0,2017.0,0.153,2017.0,0.39299999999999996,0.469,0.48,0.004,0.051
3,AL_BIBB,6733,0.7639,1874,0.2126,17427.0,2017.0,0.136,2017.0,0.502,0.22,0.758,0.001,0.018000000000000002
4,AL_BLOUNT,22808,0.8934000000000001,2150,0.0842,20730.0,2017.0,0.165,2017.0,0.512,0.013,0.926,0.002,0.081
5,AL_BULLOCK,1139,0.2419,3530,0.7495999999999999,18628.0,2017.0,0.17300000000000001,2017.0,0.336,0.7020000000000001,0.23,0.002,0.071
6,AL_BUTLER,4891,0.5614,3716,0.4265,17403.0,2017.0,0.14400000000000002,2017.0,0.433,0.434,0.544,0.008,0.009000000000000001
7,AL_CALHOUN,32803,0.6869,13197,0.2764,20828.0,2017.0,0.142,2017.0,0.54,0.206,0.7490000000000001,0.006999999999999999,0.033
8,AL_CHAMBERS,7803,0.5638000000000001,5763,0.4164,19291.0,2017.0,0.149,2017.0,0.45,0.387,0.588,0.005,0.016
9,AL_CHEROKEE,8937,0.8341,1545,0.1442,22030.0,2017.0,0.146,2017.0,0.526,0.046,0.927,0.002,0.012
10,AL_CHILTON,15068,0.8210999999999999,2909,0.1585,20701.0,2017.0,0.177,2017.0,0.402,0.097,0.841,0.003,0.078
11,AL_CHOCTAW,4102,0.5629,3109,0.4267,20323.0,2017.0,0.14300000000000002,2017.0,0.49700000000000005,0.434,0.5579999999999999,0.001,0.005
12,AL_CLARKE,7109,0.5484,5712,0.4407,18979.0,2017.0,0.151,2017.0,0.41100000000000003,0.439,0.545,0.003,0.01
13,AL_CLAY,5230,0.7918000000000001,1234,0.1868,18694.0,2017.0,0.17800000000000002,2017.0,0.419,0.14800000000000002,0.8170000000000001,0.002,0.029
14,AL_CLEBURNE,5738,0.8737999999999999,684,0.1042,19108.0,2017.0,0.14300000000000002,2017.0,0.48,0.033,0.94,0.002,0.021
15,AL_COFFEE,15825,0.7651,4194,0.2028,23380.0,2017.0,0.15,2017.0,0.608,0.16699999999999998,0.747,0.013,0.064
16,AL_COLBERT,16718,0.6724,7296,0.2934,21572.0,2017.0,0.13,2017.0,0.5660000000000001,0.161,0.805,0.004,0.02
17,AL_CONECUH,3413,0.5196999999999999,3069,0.4673,15605.0,2017.0,0.166,2017.0,0.381,0.465,0.513,0.001,0.012
18,AL_COOSA,3376,0.6437,1780,0.3394,18493.0,2017.0,0.155,2017.0,0.425,0.31,0.6629999999999999,0.001,0.02
19,AL_COVINGTON,13222,0.8323999999999999,2379,0.14980000000000002,20391.0,2017.0,0.154,2017.0,0.522,0.125,0.848,0.004,0.013
