,Year,STATE_COUNTY,Yes,No,Issue,TRUMP_N,TRUMP_%,CLINTON_N,CLINTON_%,PER_CAPITA_INCOME,YEAR_x,UNINSURED_RATE,YEAR_y,SOME_COLLEGE,AFAMERPER,WHITESPER,ASIANPER,HISPANICPER
0,2016,AL_AUTAUGA,13675,5991,increase_university_board_of_trustees,18110.0,0.7282,5908.0,0.2375,24571.0,2017.0,0.11,2017.0,0.597,0.177,0.785,0.009000000000000001,0.024
1,2016,AL_BALDWIN,55768,21116,increase_university_board_of_trustees,72780.0,0.7658,18409.0,0.1937,26766.0,2017.0,0.161,2017.0,0.629,0.094,0.857,0.006999999999999999,0.044
2,2016,AL_BARBOUR,5631,1693,increase_university_board_of_trustees,5431.0,0.5211,4848.0,0.4651,16829.0,2017.0,0.153,2017.0,0.39299999999999996,0.469,0.48,0.004,0.051
3,2016,AL_BIBB,4619,2047,increase_university_board_of_trustees,6733.0,0.7639,1874.0,0.2126,17427.0,2017.0,0.136,2017.0,0.502,0.22,0.758,0.001,0.018000000000000002
4,2016,AL_BLOUNT,12848,6471,increase_university_board_of_trustees,22808.0,0.8934000000000001,2150.0,0.0842,20730.0,2017.0,0.165,2017.0,0.512,0.013,0.926,0.002,0.081
5,2016,AL_BULLOCK,2553,422,increase_university_board_of_trustees,1139.0,0.2419,3530.0,0.7495999999999999,18628.0,2017.0,0.17300000000000001,2017.0,0.336,0.7020000000000001,0.23,0.002,0.071
6,2016,AL_BUTLER,4742,1459,increase_university_board_of_trustees,4891.0,0.5614,3716.0,0.4265,17403.0,2017.0,0.14400000000000002,2017.0,0.433,0.434,0.544,0.008,0.009000000000000001
7,2016,AL_CALHOUN,26479,9714,increase_university_board_of_trustees,32803.0,0.6869,13197.0,0.2764,20828.0,2017.0,0.142,2017.0,0.54,0.206,0.7490000000000001,0.006999999999999999,0.033
8,2016,AL_CHAMBERS,8415,2355,increase_university_board_of_trustees,7803.0,0.5638000000000001,5763.0,0.4164,19291.0,2017.0,0.149,2017.0,0.45,0.387,0.588,0.005,0.016
9,2016,AL_CHEROKEE,5529,2059,increase_university_board_of_trustees,8937.0,0.8341,1545.0,0.1442,22030.0,2017.0,0.146,2017.0,0.526,0.046,0.927,0.002,0.012
10,2016,AL_CHILTON,9474,3961,increase_university_board_of_trustees,15068.0,0.8210999999999999,2909.0,0.1585,20701.0,2017.0,0.177,2017.0,0.402,0.097,0.841,0.003,0.078
11,2016,AL_CHOCTAW,2951,1210,increase_university_board_of_trustees,4102.0,0.5629,3109.0,0.4267,20323.0,2017.0,0.14300000000000002,2017.0,0.49700000000000005,0.434,0.5579999999999999,0.001,0.005
12,2016,AL_CLARKE,6874,2264,increase_university_board_of_trustees,7109.0,0.5484,5712.0,0.4407,18979.0,2017.0,0.151,2017.0,0.41100000000000003,0.439,0.545,0.003,0.01
13,2016,AL_CLAY,3279,1458,increase_university_board_of_trustees,5230.0,0.7918000000000001,1234.0,0.1868,18694.0,2017.0,0.17800000000000002,2017.0,0.419,0.14800000000000002,0.8170000000000001,0.002,0.029
14,2016,AL_CLEBURNE,2892,1412,increase_university_board_of_trustees,5738.0,0.8737999999999999,684.0,0.1042,19108.0,2017.0,0.14300000000000002,2017.0,0.48,0.033,0.94,0.002,0.021
15,2016,AL_COFFEE,11530,3932,increase_university_board_of_trustees,15825.0,0.7651,4194.0,0.2028,23380.0,2017.0,0.15,2017.0,0.608,0.16699999999999998,0.747,0.013,0.064
16,2016,AL_COLBERT,13483,4297,increase_university_board_of_trustees,16718.0,0.6724,7296.0,0.2934,21572.0,2017.0,0.13,2017.0,0.5660000000000001,0.161,0.805,0.004,0.02
17,2016,AL_CONECUH,3354,830,increase_university_board_of_trustees,3413.0,0.5196999999999999,3069.0,0.4673,15605.0,2017.0,0.166,2017.0,0.381,0.465,0.513,0.001,0.012
18,2016,AL_COOSA,2831,1067,increase_university_board_of_trustees,3376.0,0.6437,1780.0,0.3394,18493.0,2017.0,0.155,2017.0,0.425,0.31,0.6629999999999999,0.001,0.02
19,2016,AL_COVINGTON,8153,2536,increase_university_board_of_trustees,13222.0,0.8323999999999999,2379.0,0.14980000000000002,20391.0,2017.0,0.154,2017.0,0.522,0.125,0.848,0.004,0.013
20,2016,AL_CRENSHAW,3129,1306,increase_university_board_of_trustees,4511.0,0.7203,1663.0,0.2655,21343.0,2017.0,0.163,2017.0,0.445,0.234,0.726,0.014,0.015
21,2016,AL_CULLMAN,19829,8631,increase_university_board_of_trustees,32734.0,0.872,3730.0,0.0994,20760.0,2017.0,0.16399999999999998,2017.0,0.546,0.011,0.947,0.004,0.043
22,2016,AL_DALE,10388,3619,increase_university_board_of_trustees,13789.0,0.7365999999999999,4408.0,0.2353,22685.0,2017.0,0.138,2017.0,0.612,0.193,0.741,0.011,0.056
23,2016,AL_DALLAS,11253,2116,increase_university_board_of_trustees,5784.0,0.308,12826.0,0.6831,17245.0,2017.0,0.14300000000000002,2017.0,0.473,0.6940000000000001,0.29100000000000004,0.003,0.006999999999999999
24,2016,AL_DEKALB,13596,4600,increase_university_board_of_trustees,21779.0,0.8288,3682.0,0.1401,18149.0,2017.0,0.209,2017.0,0.41600000000000004,0.015,0.845,0.003,0.136
25,2016,AL_ELMORE,19085,10486,increase_university_board_of_trustees,27619.0,0.7417,8436.0,0.2265,23856.0,2017.0,0.115,2017.0,0.5329999999999999,0.2,0.762,0.006999999999999999,0.027000000000000003
26,2016,AL_ESCAMBIA,7587,2251,increase_university_board_of_trustees,10282.0,0.6722,4698.0,0.3071,16540.0,2017.0,0.17,2017.0,0.396,0.319,0.621,0.002,0.019
27,2016,AL_ETOWAH,24877,8756,increase_university_board_of_trustees,32132.0,0.7329000000000001,10350.0,0.2361,20204.0,2017.0,0.146,2017.0,0.531,0.151,0.8029999999999999,0.006,0.033
28,2016,AL_FAYETTE,4058,1687,increase_university_board_of_trustees,6705.0,0.8140000000000001,1358.0,0.1649,18494.0,2017.0,0.146,2017.0,0.505,0.114,0.865,0.002,0.012
29,2016,AL_FRANKLIN,5566,2384,increase_university_board_of_trustees,9466.0,0.7862,2197.0,0.1825,18888.0,2017.0,0.19899999999999998,2017.0,0.40299999999999997,0.039,0.83,0.002,0.149
30,2016,AL_GENEVA,6145,2606,increase_university_board_of_trustees,9967.0,0.8501000000000001,1522.0,0.1298,20199.0,2017.0,0.172,2017.0,0.47,0.095,0.863,0.003,0.034
31,2016,AL_GREENE,3042,425,increase_university_board_of_trustees,838.0,0.172,4006.0,0.8220999999999999,14930.0,2017.0,0.151,2017.0,0.45399999999999996,0.815,0.174,0.002,0.008
32,2016,AL_HALE,3971,1106,increase_university_board_of_trustees,3172.0,0.3947,4772.0,0.5938,18812.0,2017.0,0.14,2017.0,0.48,0.59,0.398,0.002,0.009000000000000001
33,2016,AL_HENRY,4186,1605,increase_university_board_of_trustees,5623.0,0.6979000000000001,2286.0,0.2837,21924.0,2017.0,0.151,2017.0,0.5760000000000001,0.28600000000000003,0.6859999999999999,0.003,0.022
34,2016,AL_HOUSTON,25201,8217,increase_university_board_of_trustees,30567.0,0.7217,10547.0,0.249,23316.0,2017.0,0.135,2017.0,0.5720000000000001,0.258,0.7,0.008,0.029
35,2016,AL_JACKSON,10027,4044,increase_university_board_of_trustees,16643.0,0.7948000000000001,3663.0,0.17489999999999994,20486.0,2017.0,0.157,2017.0,0.43799999999999994,0.033,0.908,0.003,0.025
36,2016,AL_JEFFERSON,186750,63401,increase_university_board_of_trustees,134398.0,0.4434,156384.0,0.5155,26906.0,2017.0,0.126,2017.0,0.672,0.42,0.53,0.014,0.039
37,2016,AL_LAMAR,1283,3191,increase_university_board_of_trustees,5819.0,0.8359000000000001,1035.0,0.1487,19026.0,2017.0,0.14,2017.0,0.525,0.113,0.867,0.0,0.012
38,2016,AL_LAUDERDALE,20703,7294,increase_university_board_of_trustees,27735.0,0.7062,9877.0,0.2515,23510.0,2017.0,0.13699999999999998,2017.0,0.586,0.1,0.8640000000000001,0.006999999999999999,0.022
39,2016,AL_LAWRENCE,7126,3196,increase_university_board_of_trustees,10732.0,0.7295,3611.0,0.2455,20181.0,2017.0,0.161,2017.0,0.506,0.115,0.7759999999999999,0.001,0.017
40,2016,AL_LEE,39242,10259,increase_university_board_of_trustees,34321.0,0.5856,20987.0,0.35810000000000003,23506.0,2017.0,0.134,2017.0,0.7040000000000001,0.227,0.713,0.026,0.033
41,2016,AL_LIMESTONE,20717,9556,increase_university_board_of_trustees,28824.0,0.7223999999999999,9340.0,0.2341,25020.0,2017.0,0.14400000000000002,2017.0,0.55,0.126,0.8029999999999999,0.011,0.055
42,2016,AL_LOWNDES,3047,990,increase_university_board_of_trustees,1751.0,0.262,4882.0,0.7304999999999999,18368.0,2017.0,0.14400000000000002,2017.0,0.425,0.735,0.253,0.001,0.008
43,2016,AL_MACON,6123,1026,increase_university_board_of_trustees,1394.0,0.1589,7237.0,0.8249,16826.0,2017.0,0.13,2017.0,0.5579999999999999,0.826,0.155,0.004,0.011
44,2016,AL_MADISON,90281,36725,increase_university_board_of_trustees,89199.0,0.5485,62435.0,0.3839,31933.0,2017.0,0.125,2017.0,0.726,0.24,0.682,0.025,0.046
45,2016,AL_MARENGO,5567,1793,increase_university_board_of_trustees,5224.0,0.4759000000000001,5607.0,0.5108,22072.0,2017.0,0.133,2017.0,0.496,0.517,0.464,0.003,0.017
46,2016,AL_MARION,6084,3218,increase_university_board_of_trustees,11273.0,0.8683,1432.0,0.1103,19576.0,2017.0,0.154,2017.0,0.523,0.038,0.936,0.002,0.021
47,2016,AL_MARSHALL,18045,7920,increase_university_board_of_trustees,29217.0,0.8278,4913.0,0.1392,20382.0,2017.0,0.188,2017.0,0.474,0.016,0.8759999999999999,0.005,0.121
48,2016,AL_MOBILE,93868,29196,increase_university_board_of_trustees,94002.0,0.5562,71001.0,0.4201,22501.0,2017.0,0.149,2017.0,0.594,0.34600000000000003,0.602,0.018000000000000002,0.024
49,2016,AL_MONROE,5519,1625,increase_university_board_of_trustees,5771.0,0.5646,4310.0,0.4216,15749.0,2017.0,0.177,2017.0,0.425,0.417,0.551,0.003,0.01
50,2016,AL_MONTGOMERY,57320,17757,increase_university_board_of_trustees,33928.0,0.3551,58669.0,0.614,24975.0,2017.0,0.139,2017.0,0.613,0.547,0.395,0.021,0.036000000000000004
51,2016,AL_MORGAN,27098,10256,increase_university_board_of_trustees,37392.0,0.7403,11216.0,0.2221,23764.0,2017.0,0.161,2017.0,0.5379999999999999,0.119,0.7979999999999999,0.006,0.077
52,2016,AL_PERRY,2896,517,increase_university_board_of_trustees,1403.0,0.2661,3823.0,0.725,13716.0,2017.0,0.153,2017.0,0.41200000000000003,0.687,0.303,0.003,0.011
53,2016,AL_PICKENS,4546,1604,increase_university_board_of_trustees,5454.0,0.5717,3972.0,0.4164,17153.0,2017.0,0.14300000000000002,2017.0,0.47200000000000003,0.416,0.563,0.002,0.016
54,2016,AL_PIKE,6811,2454,increase_university_board_of_trustees,7681.0,0.5846,5039.0,0.3835,19715.0,2017.0,0.152,2017.0,0.585,0.366,0.5820000000000001,0.02,0.022
55,2016,AL_RANDOLPH,4612,2535,increase_university_board_of_trustees,7697.0,0.7562000000000001,2290.0,0.225,19830.0,2017.0,0.168,2017.0,0.491,0.201,0.765,0.002,0.028
56,2016,AL_RUSSELL,10626,3072,increase_university_board_of_trustees,9210.0,0.4784000000000001,9577.0,0.4975,19678.0,2017.0,0.14800000000000002,2017.0,0.633,0.418,0.537,0.004,0.037000000000000005
58,2016,AL_SHELBY,59475,22591,increase_university_board_of_trustees,72846.0,0.7211,22927.0,0.227,33313.0,2017.0,0.106,2017.0,0.74,0.106,0.83,0.019,0.059
59,2016,AL_SUMTER,1757,978,increase_university_board_of_trustees,1581.0,0.2469,4739.0,0.74,14156.0,2017.0,0.16699999999999998,2017.0,0.51,0.75,0.242,0.002,0.006
60,2016,AL_TALLADEGA,18940,7033,increase_university_board_of_trustees,20596.0,0.6172,12108.0,0.3628,19410.0,2017.0,0.135,2017.0,0.47100000000000003,0.317,0.653,0.004,0.02
61,2016,AL_TALLAPOOSA,10797,4018,increase_university_board_of_trustees,13546.0,0.6978,5495.0,0.2831,21434.0,2017.0,0.14300000000000002,2017.0,0.47200000000000003,0.266,0.6990000000000001,0.005,0.025
62,2016,AL_TUSCALOOSA,45780,16520,increase_university_board_of_trustees,47701.0,0.5771000000000001,31746.0,0.3841,22637.0,2017.0,0.122,2017.0,0.625,0.29600000000000004,0.6629999999999999,0.012,0.031
63,2016,AL_WALKER,15121,7228,increase_university_board_of_trustees,24208.0,0.8233,4486.0,0.1526,20698.0,2017.0,0.152,2017.0,0.526,0.059,0.912,0.003,0.02
64,2016,AL_WASHINGTON,4477,1656,increase_university_board_of_trustees,6031.0,0.7084,2366.0,0.2779,20395.0,2017.0,0.151,2017.0,0.42100000000000004,0.249,0.655,0.001,0.009000000000000001
