STATE_COUNTY,HISPANICPER
AL_AUTAUGA,0.024
AL_BALDWIN,0.044000000000000004
AL_BARBOUR,0.051
AL_BIBB,0.018000000000000002
AL_BLOUNT,0.081
AL_BULLOCK,0.071
AL_BUTLER,0.009000000000000001
AL_CALHOUN,0.033
AL_CHAMBERS,0.016
AL_CHEROKEE,0.012
AL_CHILTON,0.078
AL_CHOCTAW,0.005
AL_CLARKE,0.01
AL_CLAY,0.028999999999999998
AL_CLEBURNE,0.021
AL_COFFEE,0.064
AL_COLBERT,0.02
AL_CONECUH,0.012
AL_COOSA,0.02
AL_COVINGTON,0.013000000000000001
AL_CRENSHAW,0.015
AL_CULLMAN,0.043
AL_DALE,0.055999999999999994
AL_DALLAS,0.006999999999999999
AL_DEKALB,0.136
AL_ELMORE,0.027000000000000003
AL_ESCAMBIA,0.019
AL_ETOWAH,0.033
AL_FAYETTE,0.012
AL_FRANKLIN,0.149
AL_GENEVA,0.034
AL_GREENE,0.008
AL_HALE,0.009000000000000001
AL_HENRY,0.022000000000000002
AL_HOUSTON,0.028999999999999998
AL_JACKSON,0.025
AL_JEFFERSON,0.039
AL_LAMAR,0.012
AL_LAUDERDALE,0.022000000000000002
AL_LAWRENCE,0.017
AL_LEE,0.033
AL_LIMESTONE,0.055
AL_LOWNDES,0.008
AL_MACON,0.011000000000000001
AL_MADISON,0.046
AL_MARENGO,0.017
AL_MARION,0.021
AL_MARSHALL,0.121
AL_MOBILE,0.024
AL_MONROE,0.01
AL_MONTGOMERY,0.036000000000000004
AL_MORGAN,0.077
AL_PERRY,0.011000000000000001
AL_PICKENS,0.016
AL_PIKE,0.022000000000000002
AL_RANDOLPH,0.027999999999999997
AL_RUSSELL,0.037000000000000005
AL_STCLAIR,0.021
AL_SHELBY,0.059000000000000004
AL_SUMTER,0.006
AL_TALLADEGA,0.02
AL_TALLAPOOSA,0.025
AL_TUSCALOOSA,0.031
AL_WALKER,0.02
AL_WASHINGTON,0.009000000000000001
AL_WILCOX,0.006
AL_WINSTON,0.026000000000000002
AK_ALEUTIANSEAST,0.12300000000000001
AK_ALEUTIANSWEST,0.131
AK_ANCHORAGE,0.076
AK_BETHEL,0.011000000000000001
AK_BRISTOLBAY,0.024
AK_DENALI,0.023
AK_DILLINGHAM,0.021
AK_FAIRBANKSNORTHSTAR,0.057999999999999996
AK_HAINES,0.019
AK_HOONAH-ANGOON,0.036000000000000004
AK_JUNEAU,0.051
AK_KENAIPENINSULA,0.03
AK_KETCHIKANGATEWAY,0.04
AK_KODIAKISLAND,0.073
AK_LAKEANDPENINSULA,0.026000000000000002
AK_MATANUSKA-SUSITNA,0.037000000000000005
AK_NOME,0.012
AK_NORTHSLOPE,0.026000000000000002
AK_NORTHWESTARCTIC,0.008
AK_PETERSBURG,0.034
AK_PRINCEOFWALES-HYDER,0.023
AK_SITKA,0.049
AK_SKAGWAY,0.022000000000000002
AK_SOUTHEASTFAIRBANKS,0.033
AK_VALDEZ-CORDOVA,0.036000000000000004
AK_WADEHAMPTON,0.001
AK_WRANGELL,0.016
AK_YAKUTAT,0.026000000000000002
AK_YUKON-KOYUKUK,0.012
AZ_APACHE,0.057999999999999996
AZ_COCHISE,0.324
AZ_COCONINO,0.135
AZ_GILA,0.179
AZ_GRAHAM,0.304
AZ_GREENLEE,0.479
AZ_LAPAZ,0.235
AZ_MARICOPA,0.29600000000000004
AZ_MOHAVE,0.14800000000000002
AZ_NAVAJO,0.10800000000000001
AZ_PIMA,0.34600000000000003
AZ_PINAL,0.285
AZ_SANTACRUZ,0.828
AZ_YAVAPAI,0.136
AZ_YUMA,0.597
AR_ARKANSAS,0.027000000000000003
AR_ASHLEY,0.049
AR_BAXTER,0.017
AR_BENTON,0.155
AR_BOONE,0.018000000000000002
AR_BRADLEY,0.132
AR_CALHOUN,0.027999999999999997
AR_CARROLL,0.127
AR_CHICOT,0.046
AR_CLARK,0.04
AR_CLAY,0.013000000000000001
AR_CLEBURNE,0.02
AR_CLEVELAND,0.017
AR_COLUMBIA,0.022000000000000002
AR_CONWAY,0.036000000000000004
AR_CRAIGHEAD,0.044000000000000004
AR_CRAWFORD,0.061
AR_CRITTENDEN,0.02
AR_CROSS,0.015
AR_DALLAS,0.023
AR_DESHA,0.044000000000000004
AR_DREW,0.025
AR_FAULKNER,0.039
AR_FRANKLIN,0.02
AR_FULTON,0.008
AR_GARLAND,0.048
AR_GRANT,0.022000000000000002
AR_GREENE,0.021
AR_HEMPSTEAD,0.12
AR_HOTSPRING,0.027999999999999997
AR_HOWARD,0.098
AR_INDEPENDENCE,0.057999999999999996
AR_IZARD,0.015
AR_JACKSON,0.024
AR_JEFFERSON,0.016
AR_JOHNSON,0.121
AR_LAFAYETTE,0.017
AR_LAWRENCE,0.009000000000000001
AR_LEE,0.016
AR_LINCOLN,0.032
AR_LITTLERIVER,0.027000000000000003
AR_LOGAN,0.023
AR_LONOKE,0.033
AR_MADISON,0.048
AR_MARION,0.017
AR_MILLER,0.024
AR_MISSISSIPPI,0.036000000000000004
AR_MONROE,0.016
AR_MONTGOMERY,0.038
AR_NEVADA,0.024
AR_NEWTON,0.017
AR_OUACHITA,0.016
AR_PERRY,0.024
AR_PHILLIPS,0.013000000000000001
AR_PIKE,0.064
AR_POINSETT,0.022000000000000002
AR_POLK,0.057999999999999996
AR_POPE,0.067
AR_PRAIRIE,0.009000000000000001
AR_PULASKI,0.057999999999999996
AR_RANDOLPH,0.016
AR_STFRANCIS,0.040999999999999995
AR_SALINE,0.038
AR_SCOTT,0.07
AR_SEARCY,0.015
AR_SEBASTIAN,0.12300000000000001
AR_SEVIER,0.306
AR_SHARP,0.017
AR_STONE,0.013000000000000001
AR_UNION,0.035
AR_VANBUREN,0.027000000000000003
AR_WASHINGTON,0.155
AR_WHITE,0.037000000000000005
AR_WOODRUFF,0.012
AR_YELL,0.191
CA_ALAMEDA,0.225
CA_ALPINE,0.071
CA_AMADOR,0.125
CA_BUTTE,0.141
CA_CALAVERAS,0.10300000000000001
CA_COLUSA,0.551
CA_CONTRACOSTA,0.244
CA_DELNORTE,0.17800000000000002
CA_ELDORADO,0.121
CA_FRESNO,0.503
CA_GLENN,0.375
CA_HUMBOLDT,0.098
CA_IMPERIAL,0.804
CA_INYO,0.19399999999999998
CA_KERN,0.49200000000000005
CA_KINGS,0.509
CA_LAKE,0.171
CA_LASSEN,0.175
CA_LOSANGELES,0.47700000000000004
CA_MADERA,0.537
CA_MARIN,0.155
CA_MARIPOSA,0.092
CA_MENDOCINO,0.222
CA_MERCED,0.5489999999999999
CA_MODOC,0.139
CA_MONO,0.265
CA_MONTEREY,0.5539999999999999
CA_NAPA,0.322
CA_NEVADA,0.085
CA_ORANGE,0.337
CA_PLACER,0.128
CA_PLUMAS,0.08
CA_RIVERSIDE,0.455
CA_SACRAMENTO,0.21600000000000003
CA_SANBENITO,0.564
CA_SANBERNARDINO,0.49200000000000005
CA_SANDIEGO,0.32
CA_SANFRANCISCO,0.151
CA_SANJOAQUIN,0.389
CA_SANLUISOBISPO,0.20800000000000002
CA_SANMATEO,0.254
CA_SANTABARBARA,0.429
CA_SANTACLARA,0.26899999999999996
CA_SANTACRUZ,0.32
CA_SHASTA,0.084
CA_SIERRA,0.083
CA_SISKIYOU,0.10300000000000001
CA_SOLANO,0.24
CA_SONOMA,0.249
CA_STANISLAUS,0.419
CA_SUTTER,0.28800000000000003
CA_TEHAMA,0.21899999999999997
CA_TRINITY,0.07
CA_TULARE,0.606
CA_TUOLUMNE,0.107
