YEAR,STATE_COUNTY,INCINEQUALITY
2017,VA_RADFORD,9.048
2017,NY_NEWYORK,8.835
2017,AL_CLARKE,8.087
2017,GA_TWIGGS,7.96
2017,TX_TERRELL,7.856
2017,NC_WATAUGA,7.818
2017,MS_OKTIBBEHA,7.77
2017,ND_ROLETTE,7.709
2017,MA_SUFFOLK,7.553
2017,MS_CARROLL,7.481
2017,LA_NATCHITOCHES,7.481
2017,LA_ORLEANS,7.475
2017,GA_CLARKE,7.362
2017,NM_MCKINLEY,7.354
2017,AL_MONROE,7.338
2017,KY_OWSLEY,7.288
2017,TX_SCHLEICHER,7.265
2017,VA_EMPORIA,7.248
2017,OH_ATHENS,7.238
2017,TX_ZAPATA,7.197
2017,WA_WHITMAN,7.195
2017,LA_LINCOLN,7.168
2017,TX_KARNES,7.106
2017,CA_SANFRANCISCO,7.103
2017,IL_JACKSON,7.013
2017,DC_DISTRICTOFCOLUMBIA,6.991
2017,GA_CLINCH,6.987
2017,MS_WILKINSON,6.98
2017,AR_DREW,6.916
2017,TX_STONEWALL,6.874
2017,LA_DESOTO,6.87
2017,MS_LAFAYETTE,6.829
2017,AL_DALLAS,6.82
2017,MS_LEFLORE,6.806
2017,TX_WILLACY,6.794
2017,WV_MONONGALIA,6.78
2017,MS_WALTHALL,6.729
2017,AL_MARENGO,6.725
2017,GA_BALDWIN,6.689
2017,KY_LESLIE,6.682
2017,LA_CALDWELL,6.658
2017,LA_WINN,6.632
2017,TX_ZAVALA,6.617
2017,KY_WOLFE,6.6
2017,GA_BENHILL,6.592
2017,TX_BRAZOS,6.575
2017,ND_SIOUX,6.568
2017,GA_BULLOCH,6.567
2017,TX_OLDHAM,6.562
2017,VA_CHARLOTTESVILLE,6.56
2017,NJ_ESSEX,6.542
2017,NY_BRONX,6.516
2017,AL_CHOCTAW,6.505
2017,AL_WILCOX,6.496
2017,GA_CRISP,6.494
2017,AR_COLUMBIA,6.488
2017,KY_POWELL,6.484
2017,MS_MONTGOMERY,6.482
2017,AZ_APACHE,6.479
2017,NY_KINGS,6.438
2017,WV_MINGO,6.404
2017,KY_CALLOWAY,6.391
2017,NM_SANMIGUEL,6.39
2017,GA_BIBB,6.375
2017,LA_JEFFERSONDAVIS,6.372
2017,LA_CATAHOULA,6.363
2017,GA_DOUGHERTY,6.353
2017,GA_BURKE,6.34
2017,AL_LEE,6.331
2017,LA_STLANDRY,6.284
2017,IN_MONROE,6.28
2017,MS_COAHOMA,6.279
2017,GA_GREENE,6.262
2017,FL_ALACHUA,6.254
2017,TX_DEWITT,6.252
2017,MD_BALTIMORECITY,6.252
2017,GA_BAKER,6.251
2017,GA_DECATUR,6.248
2017,VA_NORTHAMPTON,6.222
2017,GA_LAURENS,6.213
2017,MO_STLOUISCITY,6.204
2017,GA_TALBOT,6.198
2017,MO_ADAIR,6.194
2017,MS_YAZOO,6.193
2017,GA_LANIER,6.192
2017,LA_OUACHITA,6.192
2017,GA_FULTON,6.188
2017,PA_PHILADELPHIA,6.183
2017,TX_KLEBERG,6.18
2017,TX_WALKER,6.18
2017,TX_REEVES,6.179
2017,TX_LOVING,5.3
2017,VA_RICHMOND,6.169
2017,OK_PAYNE,6.16
2017,SD_OGLALALAKOTA,6.153
2017,SD_SHANNON,6.153
2017,LA_WASHINGTON,6.153
2017,AL_PIKE,6.151
2017,GA_RABUN,6.145
2017,NM_RIOARRIBA,6.142
2017,GA_MITCHELL,6.129
2017,GA_TIFT,6.128
2017,NC_BLADEN,6.113
