STATE_COUNTY,PERSENIORS
AL_AUTAUGA,0.12
AL_BALDWIN,0.168
AL_BARBOUR,0.142
AL_BIBB,0.127
AL_BLOUNT,0.147
AL_BULLOCK,0.135
AL_BUTLER,0.16699999999999998
AL_CALHOUN,0.14300000000000002
AL_CHAMBERS,0.16699999999999998
AL_CHEROKEE,0.179
AL_CHILTON,0.136
AL_CHOCTAW,0.182
AL_CLARKE,0.162
AL_CLAY,0.17600000000000002
AL_CLEBURNE,0.158
AL_COFFEE,0.14400000000000002
AL_COLBERT,0.174
AL_CONECUH,0.179
AL_COOSA,0.171
AL_COVINGTON,0.184
AL_CRENSHAW,0.159
AL_CULLMAN,0.159
AL_DALE,0.135
AL_DALLAS,0.141
AL_DEKALB,0.139
AL_ELMORE,0.11900000000000001
AL_ESCAMBIA,0.152
AL_ETOWAH,0.158
AL_FAYETTE,0.179
AL_FRANKLIN,0.152
AL_GENEVA,0.174
AL_GREENE,0.161
AL_HALE,0.15
AL_HENRY,0.17600000000000002
AL_HOUSTON,0.145
AL_JACKSON,0.165
AL_JEFFERSON,0.131
AL_LAMAR,0.188
AL_LAUDERDALE,0.168
AL_LAWRENCE,0.146
AL_LEE,0.091
AL_LIMESTONE,0.12300000000000001
AL_LOWNDES,0.146
AL_MACON,0.141
AL_MADISON,0.122
AL_MARENGO,0.163
AL_MARION,0.183
AL_MARSHALL,0.149
AL_MOBILE,0.129
AL_MONROE,0.157
AL_MONTGOMERY,0.12
AL_MORGAN,0.141
AL_PERRY,0.16699999999999998
AL_PICKENS,0.16899999999999998
AL_PIKE,0.128
AL_RANDOLPH,0.17
AL_RUSSELL,0.127
AL_STCLAIR,0.131
AL_SHELBY,0.106
AL_SUMTER,0.15
AL_TALLADEGA,0.141
AL_TALLAPOOSA,0.17300000000000001
AL_TUSCALOOSA,0.10800000000000001
AL_WALKER,0.163
AL_WASHINGTON,0.147
AL_WILCOX,0.15
AL_WINSTON,0.177
AK_ALEUTIANSEAST,0.049
AK_ALEUTIANSWEST,0.035
AK_ANCHORAGE,0.07200000000000001
AK_BETHEL,0.061
AK_BRISTOLBAY,0.083
AK_DENALI,0.075
AK_DILLINGHAM,0.076
AK_FAIRBANKSNORTHSTAR,0.065
AK_HAINES,0.138
AK_HOONAH-ANGOON,0.134
AK_JUNEAU,0.084
AK_KENAIPENINSULA,0.113
AK_KETCHIKANGATEWAY,0.10099999999999999
AK_KODIAKISLAND,0.067
AK_LAKEANDPENINSULA,0.078
AK_MATANUSKA-SUSITNA,0.079
AK_NOME,0.064
AK_NORTHSLOPE,0.043
AK_NORTHWESTARCTIC,0.06
AK_PETERSBURG,0.115
AK_PRINCEOFWALES-HYDER,0.10099999999999999
AK_SITKA,0.114
AK_SKAGWAY,0.091
AK_SOUTHEASTFAIRBANKS,0.094
AK_VALDEZ-CORDOVA,0.083
AK_WADEHAMPTON,0.054000000000000006
AK_WRANGELL,0.158
AK_YAKUTAT,0.09699999999999999
AK_YUKON-KOYUKUK,0.102
AZ_APACHE,0.11599999999999999
AZ_COCHISE,0.17300000000000001
AZ_COCONINO,0.08900000000000001
AZ_GILA,0.23199999999999998
AZ_GRAHAM,0.114
AZ_GREENLEE,0.12
AZ_LAPAZ,0.326
AZ_MARICOPA,0.121
AZ_MOHAVE,0.233
AZ_NAVAJO,0.133
AZ_PIMA,0.154
AZ_PINAL,0.139
AZ_SANTACRUZ,0.131
AZ_YAVAPAI,0.24100000000000002
AZ_YUMA,0.157
AR_ARKANSAS,0.16399999999999998
AR_ASHLEY,0.162
AR_BAXTER,0.281
AR_BENTON,0.122
AR_BOONE,0.18100000000000002
AR_BRADLEY,0.177
AR_CALHOUN,0.172
AR_CARROLL,0.187
AR_CHICOT,0.182
AR_CLARK,0.14800000000000002
AR_CLAY,0.2
AR_CLEBURNE,0.23600000000000002
AR_CLEVELAND,0.163
AR_COLUMBIA,0.16
AR_CONWAY,0.16899999999999998
AR_CRAIGHEAD,0.122
AR_CRAWFORD,0.133
AR_CRITTENDEN,0.10800000000000001
AR_CROSS,0.154
AR_DALLAS,0.182
AR_DESHA,0.151
AR_DREW,0.14800000000000002
AR_FAULKNER,0.1
AR_FRANKLIN,0.166
AR_FULTON,0.22399999999999998
AR_GARLAND,0.209
AR_GRANT,0.145
AR_GREENE,0.14300000000000002
AR_HEMPSTEAD,0.15
AR_HOTSPRING,0.157
