STATE_COUNTY,PER_CAPITA_INCOME
NY_NEWYORKCOUNTY,62498
VA_ARLINGTON,62018
VA_FALLSCHURCHCITY,59088
CA_MARIN,56791
VA_ALEXANDRIACITY,54608
CO_PITKIN,51814
NM_LOSALAMOS,51044
VA_FAIRFAXCOUNTY,50532
NJ_HUNTERDON,50349
TX_BORDEN,50042
MD_MONTGOMERY,49038
NJ_MORRIS,48814
CT_FAIRFIELD,48721
CA_SANFRANCISCO,48486
MD_HOWARD,48172
NY_WESTCHESTER,47984
NJ_SOMERSET,47803
MA_NANTUCKET,47331
VA_LOUDOUN,46565
AK_NORTHSLOPE,46457
CA_SANMATEO,45732
HI_KALAWAO,45515
DC_WASHINGTONCITY,45290
VA_GOOCHLAND,45039
MA_NORFOLK,44692
VA_FAIRFAXCITY,44345
CO_DOUGLAS,43634
WY_TETON,43444
NJ_BERGEN,43347
MA_MIDDLESEX,42861
NJ_MONMOUTH,42749
UT_SUMMIT,42462
NY_NASSAU,42400
CO_MINERAL,42255
PA_CHESTER,42210
WI_OZAUKEE,42041
CO_CLEARCREEK,41716
CA_SANTACLARA,41513
PA_MONTGOMERY,41472
TN_WILLIAMSON,41292
CO_SANMIGUEL,40827
MD_ANNEARUNDEL,40415
NY_PUTNAM,40309
RI_NEWPORT,40293
OH_DELAWARECOUNTY,40189
CT_MIDDLESEX,39992
WA_KING,39911
VA_FAUQUIER,39600
IN_HAMILTON,39521
CO_EAGLE,39497
VA_JAMESCITYCOUNTY,39133
RI_BRISTOL,38893
KS_JOHNSON,38827
VA_CLARKE,38748
ND_WILLIAMS,38738
IL_DUPAGE,38570
VA_POQUOSONCITY,38444
NH_ROCKINGHAM,38399
MD_CALVERT,38260
CA_CONTRACOSTA,38219
MD_QUEENANNE'S,38108
CO_GILPIN,38022
MD_TALBOT,38022
IL_LAKE,38018
CO_BOULDER,38011
ND_BILLINGS,37972
NJ_SUSSEX,37949
TX_COLLIN,37839
WA_SANJUAN,37719
CT_LITCHFIELD,37667
WI_WAUKESHA,37577
AK_JUNEAU,37558
MN_HENNEPIN,37485
IN_BOONE,37482
PA_BUCKS,37466
NJ_MERCER,37465
MN_CARVER,37457
CO_BROOMFIELD,37442
VA_PRINCEWILLIAM,37401
MD_CHARLES,37277
VA_ALBEMARLE,37239
AK_SKAGWAY,37139
AK_BRISTOLBAY,37024
RI_WASHINGTONCOUNTY,37023
NY_SUFFOLK,36945
MD_FREDERICK,36917
FL_ST.JOHNS,36836
NJ_BURLINGTON,36835
GA_FULTON,36757
MN_WASHINGTONCOUNTY,36706
VA_STAFFORD,36574
VA_RAPPAHANNOCK,36505
MI_OAKLAND,36458
FL_COLLIER,36439
VA_YORK,36373
CO_HINSDALE,36365
ND_DIVIDE,36303
AK_ANCHORAGE,36214
TX_ROBERTS,36172
SD_UNION,36167
MD_CARROLL,36153
MA_BARNSTABLE,36142
CO_JEFFERSON,36087
CO_ELBERT,36077
